UG01_Status.RegV_ValvulaEmergencia,UG01_750_862,1x,16492,,Undesignated
UG01_Status.RegV_SemErro,UG01_750_862,1x,16493,,Undesignated
UG01_Status.RegV_Habilitacao,UG01_750_862,1x,16494,,Undesignated
UG01_Status.RegV_CargaZerada,UG01_750_862,1x,16495,,Undesignated
UG01_Status.RegV_RPM030,UG01_750_862,1x,16496,,Undesignated
UG01_Status.RegV_RPM090,UG01_750_862,1x,16497,,Undesignated
UG01_Status.RegV_RPM100,UG01_750_862,1x,16498,,Undesignated
UG01_Status.RegV_RPM125,UG01_750_862,1x,16499,,Undesignated
UG01_Status.RegT_Habilitacao,UG01_750_862,1x,16505,,Undesignated
UG01_Status.RegT_PreExcitacao,UG01_750_862,1x,16506,,Undesignated
UG01_Status.RegT_SemErro,UG01_750_862,1x,16507,,Undesignated
UG01_Status.RegT_TensaoEstabilizada,UG01_750_862,1x,16508,,Undesignated
UG01_Status.RegT_Protecao_Atuada,UG01_750_862,1x,16509,,Undesignated
UG01_Status.Sinc_Habilitacao,UG01_750_862,1x,16514,,Undesignated
UG01_Status.Sinc_Modo_BM,UG01_750_862,1x,16515,,Undesignated
UG01_Status.Disj52G_Aberto,UG01_750_862,1x,16516,,Undesignated
UG01_Status.Disj52G_Fechado,UG01_750_862,1x,16517,,Undesignated
UG01_Status.Rele86M_Status,UG01_750_862,1x,16518,,Undesignated
UG01_Status.Rele86E_Status,UG01_750_862,1x,16519,,Undesignated
UG01_Status.Rele86H_Status,UG01_750_862,1x,16520,,Undesignated
UG01_Status.GRTD_Watchdog,UG01_750_862,1x,16521,,Undesignated
UG01_Status.Rey_7SR51_Atuado,UG01_750_862,1x,16522,,Undesignated
UG01_Status.NivelEmergenciaPoco,UG01_750_862,1x,16523,,Undesignated
UG01_Status.Escova_Positiva,UG01_750_862,1x,16524,,Undesignated
UG01_Status.Escova_Negativa,UG01_750_862,1x,16525,,Undesignated
UG01_Leitura.UHRV_PressaoOleo,UG01_750_862,4x,13569,,Undesignated
UG01_Leitura.UHLM_PressaoOleo,UG01_750_862,4x,13570,,Undesignated
UG01_Leitura.QTA_NivelMontante,UG01_750_862,4x,13571,,32-bit Signed
UG01_Leitura.QTA_NivelJusante,UG01_750_862,4x,13572,,Undesignated
UG01_Leitura.CtrlP_Nivel,UG01_750_862,4x,13573,,Undesignated
UG01_Leitura.RIO600_MOD1_RTD1,UG01_750_862,4x,13574,,Undesignated
UG01_Leitura.RIO600_MOD1_RTD2,UG01_750_862,4x,13575,,Undesignated
UG01_Leitura.RIO600_MOD1_RTD3,UG01_750_862,4x,13576,,Undesignated
UG01_Leitura.RIO600_MOD1_RTD4,UG01_750_862,4x,13577,,Undesignated
UG01_Leitura.RIO600_MOD2_RTD1,UG01_750_862,4x,13578,,Undesignated
UG01_Leitura.RIO600_MOD2_RTD2,UG01_750_862,4x,13579,,Undesignated
UG01_Leitura.RIO600_MOD2_RTD3,UG01_750_862,4x,13580,,Undesignated
UG01_Leitura.RIO600_MOD2_RTD4,UG01_750_862,4x,13581,,Undesignated
UG01_Leitura.RIO600_MOD3_RTD1,UG01_750_862,4x,13582,,Undesignated
UG01_Leitura.RIO600_MOD3_RTD2,UG01_750_862,4x,13583,,Undesignated
UG01_Leitura.RIO600_MOD3_RTD3,UG01_750_862,4x,13584,,Undesignated
UG01_Leitura.RIO600_MOD3_RTD4,UG01_750_862,4x,13585,,Undesignated
UG01_Leitura.RIO600_MOD4_RTD1,UG01_750_862,4x,13586,,Undesignated
UG01_Leitura.RIO600_MOD4_RTD2,UG01_750_862,4x,13587,,Undesignated
UG01_Leitura.RIO600_MOD4_RTD3,UG01_750_862,4x,13588,,Undesignated
UG01_Leitura.RIO600_MOD4_RTD4,UG01_750_862,4x,13589,,Undesignated
UG01_Leitura.Turbina_PressaoMontante,UG01_750_862,4x,13590,,Undesignated
UG01_Leitura.Turbina_PressaoJusante,UG01_750_862,4x,13591,,Undesignated
UG01_Leitura.Turbina_TempoEqualizacao,UG01_750_862,4x,13592,,Undesignated
UG01_Leitura.Turbina_PosicaoDistribuidor,UG01_750_862,4x,13593,,16-bit Signed
UG01_Leitura.Turbina_PosicaoRotor,UG01_750_862,4x,13594,,Undesignated
UG01_Leitura.Turbina_Velocidade,UG01_750_862,4x,13595,,Undesignated
UG01_Leitura.Gerador_ExcitacaoTensao,UG01_750_862,4x,13597,,Undesignated
UG01_Leitura.Gerador_ExcitacaoCorrente,UG01_750_862,4x,13598,,Undesignated
UG01_Leitura.REG615_U_FaseAB,UG01_750_862,4x,13599,,Undesignated
UG01_Leitura.REG615_U_FaseBC,UG01_750_862,4x,13600,,Undesignated
UG01_Leitura.REG615_U_FaseCA,UG01_750_862,4x,13601,,Undesignated
UG01_Leitura.REG615_U_FaseAN,UG01_750_862,4x,13602,,Undesignated
UG01_Leitura.REG615_U_FaseBN,UG01_750_862,4x,13603,,Undesignated
UG01_Leitura.REG615_U_FaseCN,UG01_750_862,4x,13604,,Undesignated
UG01_Leitura.REG615_I_INST_A,UG01_750_862,4x,13605,,Undesignated
UG01_Leitura.REG615_I_INST_B,UG01_750_862,4x,13606,,Undesignated
UG01_Leitura.REG615_I_INST_C,UG01_750_862,4x,13607,,Undesignated
UG01_Leitura.REG615_I_INST_N,UG01_750_862,4x,13608,,Undesignated
UG01_Leitura.REG615_P_INST,UG01_750_862,4x,13609,,32-bit Unsigned
UG01_Leitura.REG615_Q_INST,UG01_750_862,4x_Double,13611,,Undesignated
UG01_Leitura.REG615_S_INST,UG01_750_862,4x,13613,,Undesignated
UG01_Leitura.REG615_PF_INST,UG01_750_862,4x,13615,,Undesignated
UG01_Leitura.REG615_FHz_INST,UG01_750_862,4x,13616,,Undesignated
UG01_Leitura.Gerador_EnergiaFornecidakWh,UG01_750_862,4x,13617,,Undesignated
UG01_Leitura.Gerador_EnergiaFornecidakVArh,UG01_750_862,4x,13618,,Undesignated
UG01_Setpoint.Setpoint_UHRV_Pressao_Maxima,UG01_750_862,4x,12789,,Undesignated
UG01_Setpoint.Setpoint_UHRV_Pressao_Minima,UG01_750_862,4x,12790,,Undesignated
UG01_Setpoint.Setpoint_UHRV_Pressao_Alarme,UG01_750_862,4x,12791,,Undesignated
UG01_Setpoint.Setpoint_UHRV_Pressao_TRIP,UG01_750_862,4x,12792,,Undesignated
UG01_Setpoint.Setpoint_UHRV_Temp_Alarme,UG01_750_862,4x,12793,,Undesignated
UG01_Setpoint.Setpoint_UHRV_Temp_TRIP,UG01_750_862,4x,12794,,Undesignated
UG01_Setpoint.CtrlP_PotenciaSetpoint,UG01_750_862,4x,12795,,Undesignated
UG01_Setpoint.CtrlP_PotenciaMaxima,UG01_750_862,4x,12796,,Undesignated
UG01_Setpoint.CtrlP_PotenciaMinima,UG01_750_862,4x,12797,,Undesignated
UG01_Setpoint.CtrlP_NivelSetpoint,UG01_750_862,4x,12798,,Undesignated
UG01_Setpoint.CtrlP_NivelDesligamento,UG01_750_862,4x,12799,,Undesignated
UG01_Setpoint.CtrlP_NivelReligamento,UG01_750_862,4x,12800,,Undesignated
UG01_Setpoint.CtrlP_NivelGanho,UG01_750_862,4x,12801,,Undesignated
UG01_Setpoint.CtrlP_NivelIntervalo,UG01_750_862,4x,12802,,Undesignated
UG01_Setpoint.CtrlP_NivelTolerancia,UG01_750_862,4x,12803,,Undesignated
UG01_Setpoint.CtrlP_NivelAlarme,UG01_750_862,4x,12804,,Undesignated
UG01_Setpoint.CtrlP_NivelTrip,UG01_750_862,4x,12805,,Undesignated
UG01_Setpoint.CtrlQ_SetpointFP,UG01_750_862,4x,12808,,Undesignated
UG01_Setpoint.CtrlQ_SetpointkVAr,UG01_750_862,4x,12809,,Undesignated
UG01_Setpoint.Setpoint_UHLM_Temp_Alarme,UG01_750_862,4x,12810,,Undesignated
UG01_Setpoint.Setpoint_UHLM_Temp_TRIP,UG01_750_862,4x,12811,,Undesignated
UG01_Setpoint.Setpoint_AR1_RTD1_TRIP,UG01_750_862,4x,12812,,Undesignated
UG01_Setpoint.Setpoint_AR1_RTD2_TRIP,UG01_750_862,4x,12813,,Undesignated
UG01_Setpoint.Setpoint_AR1_RTD3_TRIP,UG01_750_862,4x,12814,,Undesignated
UG01_Setpoint.Setpoint_AR1_RTD4_TRIP,UG01_750_862,4x,12815,,Undesignated
UG01_Setpoint.Setpoint_AR2_RTD1_TRIP,UG01_750_862,4x,12816,,Undesignated
UG01_Setpoint.Setpoint_AR2_RTD2_TRIP,UG01_750_862,4x,12817,,Undesignated
UG01_Setpoint.Setpoint_AR2_RTD3_TRIP,UG01_750_862,4x,12818,,Undesignated
UG01_Setpoint.Setpoint_AR2_RTD4_TRIP,UG01_750_862,4x,12819,,Undesignated
UG01_Setpoint.Setpoint_AR3_RTD1_TRIP,UG01_750_862,4x,12820,,Undesignated
UG01_Setpoint.Setpoint_AR3_RTD2_TRIP,UG01_750_862,4x,12821,,Undesignated
UG01_Setpoint.Setpoint_AR3_RTD3_TRIP,UG01_750_862,4x,12822,,Undesignated
UG01_Setpoint.Setpoint_AR3_RTD4_TRIP,UG01_750_862,4x,12823,,Undesignated
UG01_Setpoint.Setpoint_AR4_RTD1_TRIP,UG01_750_862,4x,12824,,Undesignated
UG01_Setpoint.Setpoint_AR4_RTD2_TRIP,UG01_750_862,4x,12825,,Undesignated
UG01_Setpoint.Setpoint_AR4_RTD3_TRIP,UG01_750_862,4x,12826,,Undesignated
UG01_Setpoint.Setpoint_AR4_RTD4_TRIP,UG01_750_862,4x,12827,,Undesignated
UG01_Setpoint.Setpoint_AR5_RTD1_TRIP,UG01_750_862,4x,12828,,Undesignated
UG01_Setpoint.Setpoint_AR5_RTD2_TRIP,UG01_750_862,4x,12829,,Undesignated
UG01_Setpoint.Setpoint_AR5_RTD3_TRIP,UG01_750_862,4x,12830,,Undesignated
UG01_Setpoint.Setpoint_AR5_RTD4_TRIP,UG01_750_862,4x,12831,,Undesignated
UG01_Setpoint.Setpoint_AR1_RTD1_Alarme,UG01_750_862,4x,12832,,Undesignated
UG01_Setpoint.Setpoint_AR1_RTD2_Alarme,UG01_750_862,4x,12833,,Undesignated
UG01_Setpoint.Setpoint_AR1_RTD3_Alarme,UG01_750_862,4x,12834,,Undesignated
UG01_Setpoint.Setpoint_AR1_RTD4_Alarme,UG01_750_862,4x,12835,,Undesignated
UG01_Setpoint.Setpoint_AR2_RTD1_Alarme,UG01_750_862,4x,12836,,Undesignated
UG01_Setpoint.Horimetro_Eletrico,UG01_750_862,4x,12894,,32-bit Float
UG01_Setpoint.Horimetro_Atual_E,UG01_750_862,4x,12890,,Undesignated
UG02_Comando.Emergencia_Ligar,UG02_750_862,1x,12289,,Undesignated
UG02_Comando.Emergencia_Desligar,UG02_750_862,1x,12290,,Undesignated
UG02_Comando.Reset,UG02_750_862,1x,12292,,Undesignated
UG02_Comando.CalaSirene,UG02_750_862,1x,12293,,Undesignated
UG02_Comando.ModoAuto_Reset,UG02_750_862,1x,12294,,Undesignated
UG02_Comando.ModoAuto_SelecionaAlvoUP,UG02_750_862,1x,12295,,Undesignated
UG02_Comando.ModoAuto_SelecionaAlvoUPGM,UG02_750_862,1x,12296,,Undesignated
UG02_Comando.ModoAuto_SelecionaAlvoUMD,UG02_750_862,1x,12297,,Undesignated
UG02_Comando.ModoAuto_SelecionaAlvoUPS,UG02_750_862,1x,12298,,Undesignated
UG02_Comando.ModoAuto_SelecionaAlvoUS,UG02_750_862,1x,12299,,Undesignated
UG02_Comando.QTA_Comporta_Abrir,UG02_750_862,1x,12300,,Undesignated
UG02_Comando.QTA_Comporta_Fechar,UG02_750_862,1x,12301,,Undesignated
UG02_Comando.UHLM_1_Ligar,UG02_750_862,1x,12302,,Undesignated
UG02_Comando.UHLM_1_Desligar,UG02_750_862,1x,12303,,Undesignated
UG02_Comando.UHLM_2_Ligar,UG02_750_862,1x,12304,,Undesignated
UG02_Comando.UHLM_2_Desligar,UG02_750_862,1x,12305,,Undesignated
UG02_Comando.UHRV_ForcarPressurizacao,UG02_750_862,1x,12306,,Undesignated
UG02_Comando.UHRV_1_Ligar,UG02_750_862,1x,12307,,Undesignated
UG02_Comando.UHRV_1_Desligar,UG02_750_862,1x,12308,,Undesignated
UG02_Comando.UHRV_2_Ligar,UG02_750_862,1x,12309,,Undesignated
UG02_Comando.UHRV_2_Desligar,UG02_750_862,1x,12310,,Undesignated
UG02_Comando.SFA_1_Ligar,UG02_750_862,1x,12313,,Undesignated
UG02_Comando.SFA_1_Desligar,UG02_750_862,1x,12314,,Undesignated
UG02_Comando.Turbina_ByPassAbrir,UG02_750_862,1x,12315,,Undesignated
UG02_Comando.Turbina_ByPassFechar,UG02_750_862,1x,12316,,Undesignated
UG02_Comando.Turbina_BorboletaAbrir,UG02_750_862,1x,12317,,Undesignated
UG02_Comando.Turbina_BorboletaFechar,UG02_750_862,1x,12318,,Undesignated
UG02_Comando.RegV_Start,UG02_750_862,1x,12319,,Undesignated
UG02_Comando.RegV_Stop,UG02_750_862,1x,12320,,Undesignated
UG02_Comando.RegV_Load,UG02_750_862,1x,12321,,Undesignated
UG02_Comando.RegV_Unload,UG02_750_862,1x,12322,,Undesignated
UG02_Comando.RegV_IncLoad,UG02_750_862,1x,12323,,Undesignated
UG02_Comando.RegV_DecLoad,UG02_750_862,1x,12324,,Undesignated
